AGE,GENDER,DEPARTMENT,SALARY,WORK EXPERIENCE
27,MALE,FINANCE,58628.00,2
22,FEMALE,SALES,37822.00,3
22,MALE,MARKETING,58444.00,3
22,MALE,HUMAN RESOURCES,47817.00,4
23,MALE,ADMINISTRATION,39064.00,5
23,FEMALE,INFORMATION TECHNOLOGY,46580.00,6
22,FEMALE,MARKETING,42613.00,4
23,MALE,HUMAN RESOURCES,42406.00,3
23,FEMALE,ADMINISTRATION,52235.00,2
22,FEMALE,INFORMATION TECHNOLOGY,39023.00,1
20,MALE,MARKETING,37792.00,1
25,MALE,HUMAN RESOURCES,45571.00,3
22,MALE,ADMINISTRATION,29968.00,5
22,MALE,INFORMATION TECHNOLOGY,40382.00,5
22,MALE,ENVIRONMENT,39727.00,5
20,MALE,FOOD AND BEVERAGES,32022.00,4
25,FEMALE,PURCHASING AND SPPLY,45812.00,3
22,MALE,INFORMATION TECHNOLOGY,31059.00,4
22,FEMALE,MARKETING,40064.00,4
22,FEMALE,HUMAN RESOURCES,39683.00,3
26,MALE,ADMINSTRATION,62094.00,3
22,MALE,INFORMATION TECHNOLOGY,39447.00,4
27,MALE,ENVIRONMENT,48696.00,5
22,FEMALE,FOOD AND BEVERAGES,29149.00,6
22,MALE,PURCHASING AND SPPLY,35653.00,4
22,MALE,INFORMATION TECHNOLOGY,57703.00,3
23,MALE,MARKETING,40778.00,2
23,FEMALE,HUMAN RESOURCES,43955.00,1
22,FEMALE,ADMINSTRATION,48456.00,1
23,MALE,INFORMATION TECHNOLOGY,42744.00,3
23,FEMALE,ENVIRONMENT,27347.00,5
22,FEMALE,FOOD AND BEVERAGES,27547.00,5
20,MALE,PURCHASING AND SPPLY,37841.00,5
25,MALE,INFORMATION TECHNOLOGY,27931.00,4
22,MALE,MARKETING,42135.00,3
22,MALE,HUMAN RESOURCES,50588.00,4
22,MALE,ADMINSTRATION,28743.00,4
20,MALE,INFORMATION TECHNOLOGY,40984.00,3
25,FEMALE,ENVIRONMENT,51948.00,3
22,MALE,FOOD AND BEVERAGES,43153.00,4
22,FEMALE,PURCHASING AND SPPLY,39829.00,5
22,FEMALE,INFORMATION TECHNOLOGY,31642.00,6
26,MALE,MARKETING,29789.00,4
22,MALE,HUMAN RESOURCES,76035.00,3
27,MALE,ADMINISTRATION,44234.00,2
22,FEMALE,INFORMATION TECHNOLOGY,31601.00,1
22,MALE,ENVIRONMENT,56281.00,1
22,MALE,FOOD AND BEVERAGES,41719.00,3
23,MALE,PURCHASING AND SPPLY,44317.00,5
23,FEMALE,INFORMATION TECHNOLOGY,42097.00,5
22,FEMALE,MARKETING,31795.00,5
23,MALE,HUMAN RESOURCES,42557.00,4
23,FEMALE,ADMINISTRATION,40349.00,3
22,FEMALE,INFORMATION TECHNOLOGY,37328.00,4
20,MALE,ENVIRONMENT,40234.00,4
25,MALE,FOOD AND BEVERAGES,30479.00,3
22,MALE,PURCHASING AND SPPLY,53912.00,3
22,MALE,INFORMATION TECHNOLOGY,33052.00,4
22,MALE,MARKETING,22936.00,5
20,MALE,HUMAN RESOURCES,50373.00,6
25,FEMALE,ADMINISTRATION,35771.00,4
22,MALE,INFORMATION TECHNOLOGY,63761.00,3
22,FEMALE,ENVIRONMENT,46120.00,2
22,FEMALE,FOOD AND BEVERAGES,26206.00,1
26,MALE,PURCHASING AND SPPLY,52478.00,1
22,MALE,INFORMATION TECHNOLOGY,32395.00,3
27,MALE,MARKETING,45202.00,5
22,FEMALE,HUMAN RESOURCES,32298.00,5
22,MALE,ADMINISTRATION,31387.00,5
22,MALE,INFORMATION TECHNOLOGY,23641.00,4
23,MALE,ENVIRONMENT,40835.00,3
23,FEMALE,FOOD AND BEVERAGES,24322.00,4
22,FEMALE,PURCHASING AND SPPLY,31734.00,4
23,MALE,INFORMATION TECHNOLOGY,38271.00,3
23,FEMALE,MARKETING,49949.00,3
22,FEMALE,HUMAN RESOURCES,43958.00,4
20,MALE,ADMINISTRATION,19439.00,5
25,MALE,INFORMATION TECHNOLOGY,48867.00,6
22,MALE,ENVIRONMENT,45777.00,4
22,MALE,FOOD AND BEVERAGES,38148.00,3
22,MALE,PURCHASING AND SPPLY,30075.00,2
20,MALE,INFORMATION TECHNOLOGY,36541.00,1
25,FEMALE,MARKETING,32386.00,1
22,MALE,HUMAN RESOURCES,36781.00,3
22,FEMALE,ADMINISTRATION,43288.00,5
22,FEMALE,INFORMATION TECHNOLOGY,47620.00,5
26,MALE,ENVIRONMENT,43369.00,5
22,MALE,FOOD AND BEVERAGES,58002.00,4
27,MALE,PURCHASING AND SPPLY,59863.00,3
22,FEMALE,INFORMATION TECHNOLOGY,57902.00,4
22,MALE,MARKETING,36043.00,4
22,MALE,HUMAN RESOURCES,47849.00,3
23,MALE,ADMINISTRATION,41211.00,3
23,FEMALE,INFORMATION TECHNOLOGY,35013.00,4
22,FEMALE,ENVIRONMENT,51726.00,5
23,MALE,FOOD AND BEVERAGES,43060.00,6
23,FEMALE,PURCHASING AND SPPLY,45652.00,4
22,FEMALE,INFORMATION TECHNOLOGY,54475.00,3
20,MALE,MARKETING,33986.00,2
25,MALE,HUMAN RESOURCES,45967.00,1
22,MALE,ADMINISTRATION,54561.00,1
22,MALE,INFORMATION TECHNOLOGY,25348.00,3
22,MALE,ENVIRONMENT,27618.00,5
20,MALE,FOOD AND BEVERAGES,27197.00,5
25,FEMALE,PURCHASING AND SPPLY,54163.00,5
22,MALE,INFORMATION TECHNOLOGY,44210.00,4
22,FEMALE,MARKETING,31061.00,3
22,FEMALE,HUMAN RESOURCES,35053.00,4
26,MALE,ADMINISTRATION,29252.00,4
22,MALE,INFORMATION TECHNOLOGY,54617.00,3
27,MALE,ENVIRONMENT,42317.00,3
22,FEMALE,FOOD AND BEVERAGES,49568.00,4
22,MALE,PURCHASING AND SPPLY,42896.00,5
22,MALE,INFORMATION TECHNOLOGY,44569.00,6
23,MALE,MARKETING,38289.00,4
23,FEMALE,HUMAN RESOURCES,40160.00,3
22,FEMALE,ADMINISTRATION,19625.00,2
23,MALE,INFORMATION TECHNOLOGY,44281.00,1
23,FEMALE,ENVIRONMENT,32823.00,1
22,FEMALE,FOOD AND BEVERAGES,52964.00,3
20,MALE,PURCHASING AND SPPLY,40846.00,5
25,MALE,INFORMATION TECHNOLOGY,62404.00,5
22,MALE,MARKETING,55587.00,5
22,MALE,HUMAN RESOURCES,25241.00,4
22,MALE,ADMINISTRATION,47605.00,3
20,MALE,INFORMATION TECHNOLOGY,36872.00,4
25,FEMALE,ENVIRONMENT,34578.00,4
22,MALE,FOOD AND BEVERAGES,36214.00,3
22,FEMALE,PURCHASING AND SPPLY,37250.00,3
22,FEMALE,INFORMATION TECHNOLOGY,36309.00,4
26,MALE,MARKETING,19025.00,5
22,MALE,HUMAN RESOURCES,41727.00,6
27,MALE,ADMINISTRATION,21701.00,4
22,FEMALE,INFORMATION TECHNOLOGY,34456.00,3
22,MALE,ENVIRONMENT,39015.00,2
22,MALE,FOOD AND BEVERAGES,40335.00,1
23,MALE,PURCHASING AND SPPLY,54862.00,1
23,FEMALE,INFORMATION TECHNOLOGY,25685.00,3
22,FEMALE,MARKETING,37868.00,5
23,MALE,HUMAN RESOURCES,24850.00,5
23,FEMALE,ADMINISTRATION,34666.00,5
22,FEMALE,INFORMATION TECHNOLOGY,71731.00,4
20,MALE,ENVIRONMENT,29880.00,3
25,MALE,FOOD AND BEVERAGES,46172.00,4
22,MALE,PURCHASING AND SPPLY,41441.00,4
22,MALE,INFORMATION TECHNOLOGY,42746.00,3
22,MALE,MARKETING,57327.00,3
20,MALE,HUMAN RESOURCES,30360.00,4
25,FEMALE,ADMINISTRATION,38669.00,5
22,MALE,INFORMATION TECHNOLOGY,40321.00,6
22,FEMALE,ENVIRONMENT,62713.00,4
22,FEMALE,FOOD AND BEVERAGES,36096.00,3
26,MALE,FINANCE,48151.00,2
22,MALE,SALES,61228.00,1
27,MALE,MARKETING,36922.00,1
22,FEMALE,HUMAN RESOURCES,40549.00,3
22,MALE,ADMINISTRATION,41384.00,5
22,MALE,INFORMATION TECHNOLOGY,29371.00,5
23,MALE,MARKETING,51068.00,5
23,FEMALE,HUMAN RESOURCES,43798.00,4
22,FEMALE,ADMINISTRATION,48049.00,3
23,MALE,INFORMATION TECHNOLOGY,29774.00,4
23,FEMALE,MARKETING,48602.00,4
22,FEMALE,HUMAN RESOURCES,63010.00,3
20,MALE,ADMINISTRATION,44899.00,3
25,MALE,INFORMATION TECHNOLOGY,52470.00,4
22,MALE,ENVIRONMENT,39670.00,5
22,MALE,FOOD AND BEVERAGES,38051.00,6
22,MALE,PURCHASING AND SPPLY,31725.00,4
20,MALE,INFORMATION TECHNOLOGY,37746.00,3
25,FEMALE,MARKETING,38811.00,2
22,MALE,HUMAN RESOURCES,50695.00,1
22,FEMALE,ADMINISTRATION,40668.00,1
22,FEMALE,INFORMATION TECHNOLOGY,68481.00,3
26,MALE,ENVIRONMENT,31469.00,5
22,MALE,FOOD AND BEVERAGES,48866.00,5
27,MALE,PURCHASING AND SPPLY,48612.00,5
22,FEMALE,INFORMATION TECHNOLOGY,39258.00,4
22,MALE,MARKETING,25906.00,3
22,MALE,HUMAN RESOURCES,50868.00,4
23,MALE,ADMINISTRATION,48108.00,4
23,FEMALE,INFORMATION TECHNOLOGY,37813.00,3
22,FEMALE,ENVIRONMENT,42123.00,3
23,MALE,FOOD AND BEVERAGES,53171.00,4
23,FEMALE,PURCHASING AND SPPLY,24581.00,5
22,FEMALE,INFORMATION TECHNOLOGY,49889.00,6
20,MALE,MARKETING,45321.00,4
25,MALE,HUMAN RESOURCES,33755.00,3
22,MALE,ADMINISTRATION,49384.00,2
22,MALE,INFORMATION TECHNOLOGY,38408.00,1
22,MALE,ENVIRONMENT,36011.00,1
20,MALE,FOOD AND BEVERAGES,32886.00,3
25,FEMALE,PURCHASING AND SPPLY,40282.00,5
22,MALE,INFORMATION TECHNOLOGY,36455.00,5
22,FEMALE,MARKETING,21968.00,5
22,FEMALE,HUMAN RESOURCES,70899.00,4
26,MALE,ADMINISTRATION,30020.00,3
22,MALE,INFORMATION TECHNOLOGY,41549.00,4
27,MALE,ENVIRONMENT,53202.00,4
22,FEMALE,FOOD AND BEVERAGES,51171.00,3
22,MALE,PURCHASING AND SPPLY,37630.00,3
22,MALE,INFORMATION TECHNOLOGY,44815.00,4
23,MALE,MARKETING,49427.00,5
23,FEMALE,HUMAN RESOURCES,35824.00,6
22,FEMALE,ADMINISTRATION,46240.00,4
23,MALE,INFORMATION TECHNOLOGY,43471.00,3
23,FEMALE,ENVIRONMENT,50992.00,2
22,FEMALE,FOOD AND BEVERAGES,37728.00,1
20,MALE,PURCHASING AND SPPLY,30169.00,1
25,MALE,INFORMATION TECHNOLOGY,35713.00,3
22,MALE,MARKETING,46333.00,5
22,MALE,HUMAN RESOURCES,33140.00,5
22,MALE,ADMINISTRATION,47148.00,5
20,MALE,INFORMATION TECHNOLOGY,54146.00,4
25,FEMALE,ENVIRONMENT,45325.00,3
22,MALE,FOOD AND BEVERAGES,47490.00,4
22,FEMALE,PURCHASING AND SPPLY,41939.00,4
22,FEMALE,INFORMATION TECHNOLOGY,50322.00,3
26,MALE,MARKETING,23925.00,3
22,MALE,HUMAN RESOURCES,48781.00,4
27,MALE,ADMINISTRATION,50751.00,5
22,FEMALE,INFORMATION TECHNOLOGY,36564.00,6
22,MALE,ENVIRONMENT,43149.00,4
22,MALE,FOOD AND BEVERAGES,44649.00,3
23,MALE,PURCHASING AND SPPLY,52790.00,2
23,FEMALE,INFORMATION TECHNOLOGY,45672.00,1
22,FEMALE,MARKETING,58078.00,1
23,MALE,HUMAN RESOURCES,31966.00,3
23,FEMALE,ADMINISTRATION,42575.00,5
22,FEMALE,INFORMATION TECHNOLOGY,31040.00,5
20,MALE,ENVIRONMENT,65074.00,5
25,MALE,FOOD AND BEVERAGES,54470.00,4
22,MALE,PURCHASING AND SPPLY,35363.00,3
22,MALE,INFORMATION TECHNOLOGY,35565.00,4
22,MALE,MARKETING,35578.00,4
20,MALE,HUMAN RESOURCES,37570.00,3
25,FEMALE,ADMINISTRATION,37795.00,3
22,MALE,INFORMATION TECHNOLOGY,44659.00,4
22,FEMALE,ENVIRONMENT,35128.00,5
22,FEMALE,FOOD AND BEVERAGES,36233.00,6
26,MALE,PURCHASING AND SPPLY,38114.00,4
22,MALE,INFORMATION TECHNOLOGY,28392.00,3
27,MALE,MARKETING,43849.00,2
22,FEMALE,HUMAN RESOURCES,44671.00,1
22,MALE,ADMINISTRATION,53775.00,1
22,MALE,INFORMATION TECHNOLOGY,40060.00,3
23,MALE,ENVIRONMENT,30366.00,5
23,FEMALE,FOOD AND BEVERAGES,53030.00,5
22,FEMALE,PURCHASING AND SPPLY,41067.00,5
23,MALE,INFORMATION TECHNOLOGY,40130.00,4
23,FEMALE,MARKETING,53464.00,3
22,FEMALE,HUMAN RESOURCES,33975.00,4
20,MALE,ADMINISTRATION,43392.00,4
25,MALE,INFORMATION TECHNOLOGY,44519.00,3
22,MALE,ENVIRONMENT,32972.00,3
22,MALE,FOOD AND BEVERAGES,38687.00,4
22,MALE,PURCHASING AND SPPLY,50951.00,5
20,MALE,INFORMATION TECHNOLOGY,33563.00,6
25,FEMALE,MARKETING,28866.00,4
22,MALE,HUMAN RESOURCES,45493.00,3
22,FEMALE,ADMINISTRATION,33230.00,2
22,FEMALE,INFORMATION TECHNOLOGY,60332.00,1
26,MALE,ENVIRONMENT,37485.00,1
22,MALE,FOOD AND BEVERAGES,30261.00,3
27,MALE,PURCHASING AND SPPLY,59409.00,5
22,FEMALE,INFORMATION TECHNOLOGY,44633.00,5
22,MALE,MARKETING,58734.00,5
22,MALE,HUMAN RESOURCES,32313.00,4
23,MALE,ADMINISTRATION,57815.00,3
23,FEMALE,INFORMATION TECHNOLOGY,36588.00,4
22,FEMALE,ENVIRONMENT,32338.00,4
23,MALE,FOOD AND BEVERAGES,40266.00,3
23,FEMALE,PURCHASING AND SPPLY,40347.00,3
22,FEMALE,INFORMATION TECHNOLOGY,44886.00,4
20,MALE,MARKETING,27026.00,5
25,MALE,HUMAN RESOURCES,47198.00,6
22,MALE,ADMINISTRATION,61800.00,4
22,MALE,INFORMATION TECHNOLOGY,47202.00,3
22,MALE,ENVIRONMENT,40559.00,2
20,MALE,FOOD AND BEVERAGES,34728.00,1
25,FEMALE,PURCHASING AND SPPLY,52546.00,1
22,MALE,INFORMATION TECHNOLOGY,36486.00,3
22,FEMALE,MARKETING,37401.00,5
22,FEMALE,HUMAN RESOURCES,44129.00,5
26,MALE,ADMINISTRATION,50391.00,5
22,MALE,INFORMATION TECHNOLOGY,24669.00,4
27,MALE,ENVIRONMENT,45552.00,3
22,FEMALE,FOOD AND BEVERAGES,44741.00,4
22,MALE,PURCHASING AND SPPLY,43022.00,4
22,MALE,INFORMATION TECHNOLOGY,38485.00,3
23,MALE,MARKETING,47330.00,3
23,FEMALE,HUMAN RESOURCES,38919.00,4
22,FEMALE,ADMINISTRATION,37153.00,5
23,MALE,INFORMATION TECHNOLOGY,53065.00,6
23,FEMALE,ENVIRONMENT,36376.00,4
22,FEMALE,FOOD AND BEVERAGES,37082.00,3
20,MALE,PURCHASING AND SPPLY,42729.00,2
25,MALE,INFORMATION TECHNOLOGY,33687.00,1
22,MALE,MARKETING,52364.00,1
22,MALE,HUMAN RESOURCES,31810.00,3
22,MALE,ADMINISTRATION,49218.00,5
20,MALE,INFORMATION TECHNOLOGY,41005.00,5
25,FEMALE,ENVIRONMENT,44617.00,5
22,MALE,FOOD AND BEVERAGES,48615.00,4
22,FEMALE,FINANCE,31887.00,3
22,FEMALE,SALES,29611.00,4
26,MALE,MARKETING,28578.00,4
22,MALE,HUMAN RESOURCES,30498.00,3
27,MALE,ADMINISTRATION,37243.00,3
22,FEMALE,INFORMATION TECHNOLOGY,29553.00,4
22,MALE,MARKETING,46380.00,5
22,MALE,HUMAN RESOURCES,36475.00,6
23,MALE,ADMINISTRATION,37421.00,4
23,FEMALE,INFORMATION TECHNOLOGY,50642.00,3
22,FEMALE,MARKETING,40022.00,2
23,MALE,HUMAN RESOURCES,52158.00,1
23,FEMALE,ADMINISTRATION,46649.00,1
22,FEMALE,INFORMATION TECHNOLOGY,40486.00,3
20,MALE,ENVIRONMENT,43361.00,5
25,MALE,FOOD AND BEVERAGES,52009.00,5
22,MALE,PURCHASING AND SPPLY,37701.00,5
22,MALE,INFORMATION TECHNOLOGY,54649.00,4
22,MALE,MARKETING,39877.00,3
20,MALE,HUMAN RESOURCES,42225.00,4
25,FEMALE,ADMINISTRATION,45014.00,4
22,MALE,INFORMATION TECHNOLOGY,41824.00,3
22,FEMALE,ENVIRONMENT,58586.00,3
22,FEMALE,FOOD AND BEVERAGES,35227.00,4
26,MALE,PURCHASING AND SPPLY,36376.00,5
22,MALE,INFORMATION TECHNOLOGY,44436.00,6
27,MALE,MARKETING,38571.00,4
22,FEMALE,HUMAN RESOURCES,41077.00,3
22,MALE,ADMINISTRATION,38310.00,2
22,MALE,INFORMATION TECHNOLOGY,43520.00,1
23,MALE,ENVIRONMENT,45983.00,1
23,FEMALE,FOOD AND BEVERAGES,42592.00,3
22,FEMALE,PURCHASING AND SPPLY,48425.00,5
23,MALE,INFORMATION TECHNOLOGY,55863.00,5
23,FEMALE,MARKETING,38602.00,5
22,FEMALE,HUMAN RESOURCES,42788.00,4
20,MALE,ADMINISTRATION,37239.00,3
25,MALE,INFORMATION TECHNOLOGY,46359.00,4
22,MALE,ENVIRONMENT,34648.00,4
22,MALE,FOOD AND BEVERAGES,42801.00,3
22,MALE,PURCHASING AND SPPLY,39064.00,3
20,MALE,INFORMATION TECHNOLOGY,57199.00,4
25,FEMALE,MARKETING,27946.00,5
22,MALE,HUMAN RESOURCES,39960.00,6
22,FEMALE,ADMINISTRATION,41009.00,4
22,FEMALE,INFORMATION TECHNOLOGY,44545.00,3
26,MALE,ENVIRONMENT,40182.00,2
22,MALE,FOOD AND BEVERAGES,44590.00,1
27,MALE,PURCHASING AND SPPLY,35864.00,1
22,FEMALE,INFORMATION TECHNOLOGY,37535.00,3
22,MALE,MARKETING,34166.00,5
22,MALE,HUMAN RESOURCES,38521.00,5
23,MALE,ADMINISTRATION,44527.00,5
23,FEMALE,INFORMATION TECHNOLOGY,37204.00,4
22,FEMALE,ENVIRONMENT,43649.00,3
23,MALE,FOOD AND BEVERAGES,36707.00,4
23,FEMALE,PURCHASING AND SPPLY,51620.00,4
22,FEMALE,INFORMATION TECHNOLOGY,52346.00,3
20,MALE,MARKETING,46047.00,3
25,MALE,HUMAN RESOURCES,39868.00,4
22,MALE,ADMINISTRATION,32868.00,5
22,MALE,INFORMATION TECHNOLOGY,35363.00,6
22,MALE,ENVIRONMENT,38715.00,4
20,MALE,FOOD AND BEVERAGES,35462.00,3
25,FEMALE,PURCHASING AND SPPLY,59873.00,2
22,MALE,INFORMATION TECHNOLOGY,31990.00,1
22,FEMALE,MARKETING,49828.00,1
22,FEMALE,HUMAN RESOURCES,42308.00,3
26,MALE,ADMINISTRATION,27480.00,5
22,MALE,INFORMATION TECHNOLOGY,31227.00,5
27,MALE,ENVIRONMENT,39970.00,5
22,FEMALE,FOOD AND BEVERAGES,34463.00,4
22,MALE,PURCHASING AND SPPLY,42375.00,3
22,MALE,INFORMATION TECHNOLOGY,37664.00,4
23,MALE,MARKETING,18450.00,4
23,FEMALE,HUMAN RESOURCES,41270.00,3
22,FEMALE,ADMINISTRATION,30601.00,3
23,MALE,INFORMATION TECHNOLOGY,53798.00,4
23,FEMALE,ENVIRONMENT,48574.00,5
22,FEMALE,FOOD AND BEVERAGES,37649.00,6
20,MALE,PURCHASING AND SPPLY,60520.00,4
25,MALE,INFORMATION TECHNOLOGY,36931.00,3
22,MALE,MARKETING,38235.00,2
22,MALE,HUMAN RESOURCES,41253.00,1
22,MALE,ADMINISTRATION,42009.00,1
20,MALE,INFORMATION TECHNOLOGY,40651.00,3
25,FEMALE,ENVIRONMENT,45668.00,5
22,MALE,FOOD AND BEVERAGES,22013.00,5
22,FEMALE,PURCHASING AND SPPLY,39175.00,5
22,FEMALE,INFORMATION TECHNOLOGY,49328.00,4
26,MALE,MARKETING,63912.00,3
22,MALE,HUMAN RESOURCES,67133.00,4
27,MALE,ADMINISTRATION,41433.00,4
22,FEMALE,INFORMATION TECHNOLOGY,51761.00,3
22,MALE,ENVIRONMENT,60824.00,3
22,MALE,FOOD AND BEVERAGES,43542.00,4
23,MALE,PURCHASING AND SPPLY,34043.00,5
23,FEMALE,INFORMATION TECHNOLOGY,49521.00,6
22,FEMALE,MARKETING,21933.00,4
23,MALE,HUMAN RESOURCES,48650.00,3
23,FEMALE,ADMINISTRATION,48003.00,2
22,FEMALE,INFORMATION TECHNOLOGY,39164.00,1
20,MALE,ENVIRONMENT,37749.00,1
25,MALE,FOOD AND BEVERAGES,46914.00,3
22,MALE,PURCHASING AND SPPLY,59291.00,5
22,MALE,INFORMATION TECHNOLOGY,46519.00,5
22,MALE,MARKETING,30827.00,5
20,MALE,HUMAN RESOURCES,54060.00,4
25,FEMALE,ADMINISTRATION,45974.00,3
22,MALE,INFORMATION TECHNOLOGY,48085.00,4
22,FEMALE,ENVIRONMENT,41930.00,4
22,FEMALE,FOOD AND BEVERAGES,52608.00,3
26,MALE,PURCHASING AND SPPLY,41984.00,3
22,MALE,INFORMATION TECHNOLOGY,48798.00,4
27,MALE,MARKETING,24491.00,5
22,FEMALE,HUMAN RESOURCES,29792.00,6
22,MALE,ADMINISTRATION,30879.00,4
22,MALE,INFORMATION TECHNOLOGY,33547.00,3
23,MALE,ENVIRONMENT,34265.00,2
23,FEMALE,FOOD AND BEVERAGES,39379.00,1
22,FEMALE,PURCHASING AND SPPLY,41024.00,1
23,MALE,INFORMATION TECHNOLOGY,38637.00,3
23,FEMALE,MARKETING,39587.00,5
22,FEMALE,HUMAN RESOURCES,38089.00,5
20,MALE,ADMINISTRATION,33375.00,5
25,MALE,INFORMATION TECHNOLOGY,47396.00,4
22,MALE,ENVIRONMENT,35589.00,3
22,MALE,FOOD AND BEVERAGES,46537.00,4
22,MALE,PURCHASING AND SPPLY,42353.00,4
20,MALE,INFORMATION TECHNOLOGY,22844.00,3
25,FEMALE,MARKETING,47760.00,3
22,MALE,HUMAN RESOURCES,42791.00,4
22,FEMALE,ADMINISTRATION,41071.00,5
22,FEMALE,INFORMATION TECHNOLOGY,32879.00,6
26,MALE,ENVIRONMENT,24000.00,4
22,MALE,FOOD AND BEVERAGES,46040.00,3
27,MALE,PURCHASING AND SPPLY,58885.00,2
22,FEMALE,INFORMATION TECHNOLOGY,47387.00,1
22,MALE,MARKETING,53757.00,1
22,MALE,HUMAN RESOURCES,36791.00,3
23,MALE,ADMINISTRATION,41460.00,5
23,FEMALE,INFORMATION TECHNOLOGY,46619.00,5
22,FEMALE,ENVIRONMENT,41210.00,5
23,MALE,FOOD AND BEVERAGES,60935.00,4
23,FEMALE,PURCHASING AND SPPLY,31895.00,3
22,FEMALE,INFORMATION TECHNOLOGY,38445.00,4
20,MALE,MARKETING,41144.00,4
25,MALE,HUMAN RESOURCES,48159.00,3
22,MALE,ADMINISTRATION,40456.00,3
22,MALE,INFORMATION TECHNOLOGY,41229.00,4
22,MALE,ENVIRONMENT,19962.00,5
20,MALE,FOOD AND BEVERAGES,33006.00,6
25,FEMALE,FINANCE,51521.00,4
22,MALE,SALES,52431.00,3
22,FEMALE,MARKETING,58366.00,2
22,FEMALE,HUMAN RESOURCES,33209.00,1
26,MALE,ADMINISTRATION,30998.00,1
22,MALE,INFORMATION TECHNOLOGY,46720.00,3
27,MALE,MARKETING,52643.00,5
22,FEMALE,HUMAN RESOURCES,37071.00,5
22,MALE,ADMINISTRATION,39457.00,5
22,MALE,INFORMATION TECHNOLOGY,32751.00,4
23,MALE,MARKETING,52045.00,3
23,FEMALE,HUMAN RESOURCES,46286.00,4
22,FEMALE,ADMINISTRATION,29555.00,4
23,MALE,INFORMATION TECHNOLOGY,50963.00,3
23,FEMALE,ENVIRONMENT,31923.00,3
22,FEMALE,FOOD AND BEVERAGES,54537.00,4
20,MALE,PURCHASING AND SPPLY,39267.00,5
25,MALE,INFORMATION TECHNOLOGY,55662.00,6
22,MALE,MARKETING,53329.00,4
22,MALE,HUMAN RESOURCES,36683.00,3
22,MALE,ADMINISTRATION,48035.00,2
20,MALE,INFORMATION TECHNOLOGY,46978.00,1
25,FEMALE,ENVIRONMENT,41616.00,1
22,MALE,FOOD AND BEVERAGES,32593.00,3
22,FEMALE,PURCHASING AND SPPLY,48108.00,5
22,FEMALE,INFORMATION TECHNOLOGY,70088.00,5
26,MALE,MARKETING,47159.00,5
22,MALE,HUMAN RESOURCES,48736.00,4
27,MALE,ADMINISTRATION,39171.00,3
22,FEMALE,INFORMATION TECHNOLOGY,38163.00,4
22,MALE,ENVIRONMENT,41119.00,4
22,MALE,FOOD AND BEVERAGES,33900.00,3
23,MALE,PURCHASING AND SPPLY,41866.00,3
23,FEMALE,INFORMATION TECHNOLOGY,45706.00,4
22,FEMALE,MARKETING,42949.00,5
23,MALE,HUMAN RESOURCES,46559.00,6
23,FEMALE,ADMINISTRATION,40605.00,4
22,FEMALE,INFORMATION TECHNOLOGY,44576.00,3
20,MALE,ENVIRONMENT,27960.00,2
25,MALE,FOOD AND BEVERAGES,59404.00,1
22,MALE,PURCHASING AND SPPLY,43644.00,1
22,MALE,INFORMATION TECHNOLOGY,55510.00,3
22,MALE,MARKETING,50836.00,5
