AGE,GENDER,DEPARTMENT,SALARY,WORK EXPERIENCE
20,MALE,HUMAN RESOURCES,39073.00,5
25,FEMALE,ADMINISTRATION,39131.00,5
22,MALE,INFORMATION TECHNOLOGY,37614.00,4
22,FEMALE,ENVIRONMENT,53105.00,3
22,FEMALE,FOOD AND BEVERAGES,29013.00,4
26,MALE,PURCHASING AND SPPLY,47318.00,4
22,MALE,INFORMATION TECHNOLOGY,42617.00,3
27,MALE,MARKETING,57643.00,3
22,FEMALE,HUMAN RESOURCES,30598.00,4
22,MALE,ADMINISTRATION,37659.00,5
22,MALE,INFORMATION TECHNOLOGY,45653.00,6
23,MALE,ENVIRONMENT,33953.00,4
23,FEMALE,FOOD AND BEVERAGES,23699.00,3
22,FEMALE,PURCHASING AND SPPLY,49918.00,2
23,MALE,INFORMATION TECHNOLOGY,53020.00,1
23,FEMALE,MARKETING,48031.00,1
22,FEMALE,HUMAN RESOURCES,31872.00,3
20,MALE,ADMINISTRATION,41343.00,5
25,MALE,INFORMATION TECHNOLOGY,48664.00,5
22,MALE,ENVIRONMENT,40765.00,5
22,MALE,FOOD AND BEVERAGES,42830.00,4
22,MALE,PURCHASING AND SPPLY,30961.00,3
20,MALE,INFORMATION TECHNOLOGY,39607.00,4
25,FEMALE,MARKETING,33436.00,4
22,MALE,HUMAN RESOURCES,42480.00,3
22,FEMALE,ADMINISTRATION,32062.00,3
22,FEMALE,INFORMATION TECHNOLOGY,42645.00,4
26,MALE,ENVIRONMENT,25184.00,5
22,MALE,FOOD AND BEVERAGES,41249.00,6
27,MALE,PURCHASING AND SPPLY,46517.00,4
22,FEMALE,INFORMATION TECHNOLOGY,29887.00,3
22,MALE,MARKETING,19412.00,2
22,MALE,HUMAN RESOURCES,40480.00,1
23,MALE,ADMINISTRATION,34214.00,1
23,FEMALE,INFORMATION TECHNOLOGY,36388.00,3
22,FEMALE,ENVIRONMENT,48819.00,5
23,MALE,FOOD AND BEVERAGES,32779.00,5
23,FEMALE,PURCHASING AND SPPLY,44229.00,5
22,FEMALE,INFORMATION TECHNOLOGY,43844.00,4
20,MALE,MARKETING,42153.00,3
25,MALE,HUMAN RESOURCES,29452.00,4
22,MALE,ADMINISTRATION,44828.00,4
22,MALE,INFORMATION TECHNOLOGY,42991.00,3
22,MALE,ENVIRONMENT,46738.00,3
20,MALE,FOOD AND BEVERAGES,48115.00,4
25,FEMALE,PURCHASING AND SPPLY,31788.00,5
22,MALE,INFORMATION TECHNOLOGY,48002.00,6
22,FEMALE,MARKETING,40644.00,4
22,FEMALE,HUMAN RESOURCES,52612.00,3
26,MALE,ADMINISTRATION,37294.00,2
22,MALE,INFORMATION TECHNOLOGY,48486.00,1
27,MALE,ENVIRONMENT,43267.00,1
22,FEMALE,FOOD AND BEVERAGES,53096.00,3
22,MALE,PURCHASING AND SPPLY,36393.00,5
22,MALE,INFORMATION TECHNOLOGY,37693.00,5
23,MALE,MARKETING,36858.00,5
23,FEMALE,HUMAN RESOURCES,31949.00,4
22,FEMALE,ADMINISTRATION,34761.00,3
23,MALE,INFORMATION TECHNOLOGY,54390.00,4
23,FEMALE,ENVIRONMENT,45275.00,4
22,FEMALE,FOOD AND BEVERAGES,34445.00,3
20,MALE,PURCHASING AND SPPLY,30668.00,3
25,MALE,INFORMATION TECHNOLOGY,29414.00,4
22,MALE,MARKETING,26320.00,5
22,MALE,HUMAN RESOURCES,39738.00,6
22,MALE,ADMINISTRATION,30505.00,4
20,MALE,INFORMATION TECHNOLOGY,36229.00,3
25,FEMALE,ENVIRONMENT,42286.00,2
22,MALE,FOOD AND BEVERAGES,45587.00,1
22,FEMALE,PURCHASING AND SPPLY,46116.00,1
22,FEMALE,INFORMATION TECHNOLOGY,40505.00,3
26,MALE,MARKETING,76955.00,5
22,MALE,HUMAN RESOURCES,49691.00,5
27,MALE,ADMINISTRATION,33646.00,5
22,FEMALE,INFORMATION TECHNOLOGY,38503.00,4
22,MALE,ENVIRONMENT,47512.00,3
22,MALE,FOOD AND BEVERAGES,57481.00,4
23,MALE,PURCHASING AND SPPLY,33926.00,4
23,FEMALE,INFORMATION TECHNOLOGY,56321.00,3
22,FEMALE,MARKETING,50902.00,3
23,MALE,HUMAN RESOURCES,38207.00,4
23,FEMALE,ADMINISTRATION,47448.00,5
22,FEMALE,INFORMATION TECHNOLOGY,35774.00,6
20,MALE,ENVIRONMENT,35077.00,4
25,MALE,FOOD AND BEVERAGES,33498.00,3
22,MALE,PURCHASING AND SPPLY,47518.00,2
22,MALE,INFORMATION TECHNOLOGY,40048.00,1
22,MALE,MARKETING,37701.00,1
20,MALE,HUMAN RESOURCES,33694.00,3
25,FEMALE,ADMINISTRATION,47519.00,5
22,MALE,INFORMATION TECHNOLOGY,39880.00,5
22,FEMALE,ENVIRONMENT,42062.00,5
22,FEMALE,FOOD AND BEVERAGES,26542.00,4
26,MALE,PURCHASING AND SPPLY,43743.00,3
22,MALE,INFORMATION TECHNOLOGY,33148.00,4
27,MALE,MARKETING,42276.00,4
22,FEMALE,HUMAN RESOURCES,49757.00,3
22,MALE,ADMINISTRATION,36683.00,3
22,MALE,INFORMATION TECHNOLOGY,44549.00,4
23,MALE,ENVIRONMENT,32166.00,5
23,FEMALE,FOOD AND BEVERAGES,33194.00,6
22,FEMALE,PURCHASING AND SPPLY,26468.00,4
23,MALE,INFORMATION TECHNOLOGY,36146.00,3
23,FEMALE,MARKETING,28602.00,2
22,FEMALE,HUMAN RESOURCES,21663.00,1
20,MALE,ADMINISTRATION,31685.00,1
25,MALE,INFORMATION TECHNOLOGY,35911.00,3
22,MALE,ENVIRONMENT,30574.00,5
22,MALE,FOOD AND BEVERAGES,67553.00,5
22,MALE,FINANCE,44596.00,5
20,MALE,SALES,28399.00,4
25,FEMALE,MARKETING,35773.00,3
22,MALE,HUMAN RESOURCES,50576.00,4
22,FEMALE,ADMINISTRATION,30044.00,4
22,FEMALE,INFORMATION TECHNOLOGY,49854.00,3
26,MALE,MARKETING,51651.00,3
22,MALE,HUMAN RESOURCES,39955.00,4
27,MALE,ADMINISTRATION,33682.00,5
22,FEMALE,INFORMATION TECHNOLOGY,42987.00,6
22,MALE,MARKETING,59733.00,4
22,MALE,HUMAN RESOURCES,44520.00,3
23,MALE,ADMINISTRATION,39562.00,2
23,FEMALE,INFORMATION TECHNOLOGY,42322.00,1
22,FEMALE,ENVIRONMENT,31092.00,1
23,MALE,FOOD AND BEVERAGES,35507.00,3
23,FEMALE,PURCHASING AND SPPLY,68542.00,5
22,FEMALE,INFORMATION TECHNOLOGY,47799.00,5
20,MALE,MARKETING,42126.00,5
25,MALE,HUMAN RESOURCES,30850.00,4
22,MALE,ADMINISTRATION,40485.00,3
22,MALE,INFORMATION TECHNOLOGY,53380.00,4
22,MALE,ENVIRONMENT,51249.00,4
20,MALE,FOOD AND BEVERAGES,25104.00,3
25,FEMALE,PURCHASING AND SPPLY,34797.00,3
22,MALE,INFORMATION TECHNOLOGY,36728.00,4
22,FEMALE,MARKETING,39013.00,5
22,FEMALE,HUMAN RESOURCES,47422.00,6
26,MALE,ADMINISTRATION,40424.00,4
22,MALE,INFORMATION TECHNOLOGY,52889.00,3
27,MALE,ENVIRONMENT,36818.00,2
22,FEMALE,FOOD AND BEVERAGES,21364.00,1
22,MALE,PURCHASING AND SPPLY,34964.00,1
22,MALE,INFORMATION TECHNOLOGY,33899.00,3
23,MALE,MARKETING,30777.00,5
23,FEMALE,HUMAN RESOURCES,25465.00,5
22,FEMALE,ADMINISTRATION,48051.00,5
23,MALE,INFORMATION TECHNOLOGY,42637.00,4
23,FEMALE,ENVIRONMENT,37161.00,3
22,FEMALE,FOOD AND BEVERAGES,58667.00,4
20,MALE,PURCHASING AND SPPLY,59308.00,4
25,MALE,INFORMATION TECHNOLOGY,42601.00,3
22,MALE,MARKETING,40961.00,3
22,MALE,HUMAN RESOURCES,37885.00,4
22,MALE,ADMINISTRATION,26756.00,5
20,MALE,INFORMATION TECHNOLOGY,38748.00,6
25,FEMALE,ENVIRONMENT,41910.00,4
22,MALE,FOOD AND BEVERAGES,34215.00,3
22,FEMALE,PURCHASING AND SPPLY,32935.00,2
22,FEMALE,INFORMATION TECHNOLOGY,45882.00,1
26,MALE,MARKETING,38143.00,1
22,MALE,HUMAN RESOURCES,45610.00,3
27,MALE,ADMINISTRATION,41319.00,5
22,FEMALE,INFORMATION TECHNOLOGY,37656.00,5
22,MALE,ENVIRONMENT,67128.00,5
22,MALE,FOOD AND BEVERAGES,44204.00,4
23,MALE,PURCHASING AND SPPLY,34795.00,3
23,FEMALE,INFORMATION TECHNOLOGY,43433.00,4
22,FEMALE,MARKETING,46952.00,4
23,MALE,HUMAN RESOURCES,36872.00,3
23,FEMALE,ADMINISTRATION,33105.00,3
22,FEMALE,INFORMATION TECHNOLOGY,55580.00,4
20,MALE,ENVIRONMENT,41866.00,5
25,MALE,FOOD AND BEVERAGES,57953.00,6
22,MALE,PURCHASING AND SPPLY,42541.00,4
22,MALE,INFORMATION TECHNOLOGY,46423.00,3
22,MALE,MARKETING,43727.00,2
20,MALE,HUMAN RESOURCES,56218.00,1
25,FEMALE,ADMINISTRATION,45343.00,1
22,MALE,INFORMATION TECHNOLOGY,46384.00,3
22,FEMALE,ENVIRONMENT,46484.00,5
22,FEMALE,FOOD AND BEVERAGES,35297.00,5
26,MALE,PURCHASING AND SPPLY,59295.00,5
22,MALE,INFORMATION TECHNOLOGY,51886.00,4
27,MALE,MARKETING,39595.00,3
22,FEMALE,HUMAN RESOURCES,33789.00,4
22,MALE,ADMINISTRATION,28511.00,4
22,MALE,INFORMATION TECHNOLOGY,64080.00,3
23,MALE,ENVIRONMENT,47489.00,3
23,FEMALE,FOOD AND BEVERAGES,48150.00,4
22,FEMALE,PURCHASING AND SPPLY,39880.00,5
23,MALE,INFORMATION TECHNOLOGY,54138.00,6
23,FEMALE,MARKETING,45010.00,4
22,FEMALE,HUMAN RESOURCES,45540.00,3
20,MALE,ADMINISTRATION,52981.00,2
25,MALE,INFORMATION TECHNOLOGY,53236.00,1
22,MALE,ENVIRONMENT,50884.00,1
22,MALE,FOOD AND BEVERAGES,48338.00,3
22,MALE,PURCHASING AND SPPLY,54650.00,5
20,MALE,INFORMATION TECHNOLOGY,47993.00,5
25,FEMALE,MARKETING,43872.00,5
22,MALE,HUMAN RESOURCES,59011.00,4
22,FEMALE,ADMINISTRATION,48699.00,3
22,FEMALE,INFORMATION TECHNOLOGY,39482.00,4
26,MALE,ENVIRONMENT,38484.00,4
22,MALE,FOOD AND BEVERAGES,47374.00,3
27,MALE,PURCHASING AND SPPLY,37051.00,3
22,FEMALE,INFORMATION TECHNOLOGY,39981.00,4
22,MALE,MARKETING,62813.00,5
22,MALE,HUMAN RESOURCES,34779.00,6
23,MALE,ADMINISTRATION,41257.00,4
23,FEMALE,INFORMATION TECHNOLOGY,37237.00,3
22,FEMALE,ENVIRONMENT,43629.00,2
23,MALE,FOOD AND BEVERAGES,64185.00,1
23,FEMALE,PURCHASING AND SPPLY,40509.00,1
22,FEMALE,INFORMATION TECHNOLOGY,38844.00,3
20,MALE,MARKETING,51664.00,5
25,MALE,HUMAN RESOURCES,32002.00,5
22,MALE,ADMINISTRATION,35702.00,5
22,MALE,INFORMATION TECHNOLOGY,37927.00,4
22,MALE,ENVIRONMENT,54429.00,3
20,MALE,FOOD AND BEVERAGES,36646.00,4
25,FEMALE,PURCHASING AND SPPLY,21016.00,4
22,MALE,INFORMATION TECHNOLOGY,41748.00,3
22,FEMALE,MARKETING,40916.00,3
22,FEMALE,HUMAN RESOURCES,40542.00,4
26,MALE,ADMINISTRATION,66814.00,5
22,MALE,INFORMATION TECHNOLOGY,37509.00,6
27,MALE,ENVIRONMENT,56680.00,4
22,FEMALE,FOOD AND BEVERAGES,25159.00,3
22,MALE,PURCHASING AND SPPLY,34394.00,2
22,MALE,INFORMATION TECHNOLOGY,45783.00,1
23,MALE,MARKETING,26707.00,1
23,FEMALE,HUMAN RESOURCES,39395.00,3
22,FEMALE,ADMINISTRATION,51044.00,5
23,MALE,INFORMATION TECHNOLOGY,38547.00,5
23,FEMALE,ENVIRONMENT,69519.00,5
22,FEMALE,FOOD AND BEVERAGES,28235.00,4
20,MALE,PURCHASING AND SPPLY,46245.00,3
25,MALE,INFORMATION TECHNOLOGY,43349.00,4
22,MALE,MARKETING,38241.00,4
22,MALE,HUMAN RESOURCES,59441.00,3
22,MALE,ADMINISTRATION,37601.00,3
20,MALE,INFORMATION TECHNOLOGY,35025.00,4
25,FEMALE,ENVIRONMENT,47754.00,5
22,MALE,FOOD AND BEVERAGES,39923.00,6
22,FEMALE,PURCHASING AND SPPLY,42609.00,4
22,FEMALE,INFORMATION TECHNOLOGY,51289.00,3
26,MALE,MARKETING,32370.00,2
22,MALE,HUMAN RESOURCES,57173.00,1
27,MALE,ADMINISTRATION,39940.00,1
22,FEMALE,INFORMATION TECHNOLOGY,37626.00,3
22,MALE,ENVIRONMENT,44691.00,5
22,MALE,FOOD AND BEVERAGES,58525.00,5
23,MALE,PURCHASING AND SPPLY,29203.00,5
23,FEMALE,INFORMATION TECHNOLOGY,35388.00,4
22,FEMALE,MARKETING,51134.00,3
23,MALE,HUMAN RESOURCES,60158.00,4
23,FEMALE,ADMINISTRATION,36938.00,4
22,FEMALE,INFORMATION TECHNOLOGY,37496.00,3
20,MALE,ENVIRONMENT,46103.00,3
25,MALE,FOOD AND BEVERAGES,46784.00,4
22,MALE,FINANCE,52474.00,5
22,MALE,SALES,24666.00,6
22,MALE,MARKETING,40230.00,4
20,MALE,HUMAN RESOURCES,53912.00,3
25,FEMALE,ADMINISTRATION,31767.00,2
22,MALE,INFORMATION TECHNOLOGY,25734.00,1
22,FEMALE,MARKETING,57421.00,1
22,FEMALE,HUMAN RESOURCES,37799.00,3
26,MALE,ADMINISTRATION,23681.00,5
22,MALE,INFORMATION TECHNOLOGY,37346.00,5
27,MALE,MARKETING,39776.00,5
22,FEMALE,HUMAN RESOURCES,40276.00,4
22,MALE,ADMINISTRATION,33901.00,3
22,MALE,INFORMATION TECHNOLOGY,44283.00,4
23,MALE,ENVIRONMENT,42728.00,4
23,FEMALE,FOOD AND BEVERAGES,41596.00,3
22,FEMALE,PURCHASING AND SPPLY,37437.00,3
23,MALE,INFORMATION TECHNOLOGY,32517.00,4
23,FEMALE,MARKETING,34609.00,5
22,FEMALE,HUMAN RESOURCES,35898.00,6
20,MALE,ADMINISTRATION,38035.00,4
25,MALE,INFORMATION TECHNOLOGY,45408.00,3
22,MALE,ENVIRONMENT,40514.00,2
22,MALE,FOOD AND BEVERAGES,50706.00,1
22,MALE,PURCHASING AND SPPLY,55991.00,1
20,MALE,INFORMATION TECHNOLOGY,47655.00,3
25,FEMALE,MARKETING,47421.00,5
22,MALE,HUMAN RESOURCES,54717.00,5
22,FEMALE,ADMINISTRATION,37167.00,5
22,FEMALE,INFORMATION TECHNOLOGY,39616.00,4
26,MALE,ENVIRONMENT,33757.00,3
22,MALE,FOOD AND BEVERAGES,27439.00,4
27,MALE,PURCHASING AND SPPLY,59128.00,4
22,FEMALE,INFORMATION TECHNOLOGY,49708.00,3
22,MALE,MARKETING,41347.00,3
22,MALE,HUMAN RESOURCES,34604.00,4
23,MALE,ADMINISTRATION,39198.00,5
23,FEMALE,INFORMATION TECHNOLOGY,53831.00,6
22,FEMALE,ENVIRONMENT,51348.00,4
23,MALE,FOOD AND BEVERAGES,42527.00,3
23,FEMALE,PURCHASING AND SPPLY,50743.00,2
22,FEMALE,INFORMATION TECHNOLOGY,51194.00,1
20,MALE,MARKETING,54795.00,1
25,MALE,HUMAN RESOURCES,61479.00,3
22,MALE,ADMINISTRATION,49011.00,5
22,MALE,INFORMATION TECHNOLOGY,50942.00,5
22,MALE,ENVIRONMENT,35141.00,5
20,MALE,FOOD AND BEVERAGES,44387.00,4
25,FEMALE,PURCHASING AND SPPLY,49467.00,3
22,MALE,INFORMATION TECHNOLOGY,46030.00,4
22,FEMALE,MARKETING,41616.00,4
22,FEMALE,HUMAN RESOURCES,52851.00,3
26,MALE,ADMINISTRATION,39010.00,3
22,MALE,INFORMATION TECHNOLOGY,37684.00,4
27,MALE,ENVIRONMENT,34227.00,5
22,FEMALE,FOOD AND BEVERAGES,85919.00,6
22,MALE,PURCHASING AND SPPLY,52736.00,4
22,MALE,INFORMATION TECHNOLOGY,42305.00,3
23,MALE,MARKETING,40167.00,2
23,FEMALE,HUMAN RESOURCES,34547.00,1
22,FEMALE,ADMINISTRATION,59766.00,1
23,MALE,INFORMATION TECHNOLOGY,34802.00,3
23,FEMALE,ENVIRONMENT,35141.00,5
22,FEMALE,FOOD AND BEVERAGES,50365.00,5
20,MALE,PURCHASING AND SPPLY,44460.00,5
25,MALE,INFORMATION TECHNOLOGY,49569.00,4
22,MALE,MARKETING,43302.00,3
22,MALE,HUMAN RESOURCES,35994.00,4
22,MALE,ADMINISTRATION,17003.00,4
20,MALE,INFORMATION TECHNOLOGY,46949.00,3
25,FEMALE,ENVIRONMENT,31791.00,3
22,MALE,FOOD AND BEVERAGES,46636.00,4
22,FEMALE,PURCHASING AND SPPLY,40345.00,5
22,FEMALE,INFORMATION TECHNOLOGY,44000.00,6
26,MALE,MARKETING,38918.00,4
22,MALE,HUMAN RESOURCES,43816.00,3
27,MALE,ADMINISTRATION,43467.00,2
22,FEMALE,INFORMATION TECHNOLOGY,42481.00,1
22,MALE,ENVIRONMENT,43149.00,1
22,MALE,FOOD AND BEVERAGES,49656.00,3
23,MALE,PURCHASING AND SPPLY,43487.00,5
23,FEMALE,INFORMATION TECHNOLOGY,26952.00,5
22,FEMALE,MARKETING,33175.00,5
23,MALE,HUMAN RESOURCES,61373.00,4
23,FEMALE,ADMINISTRATION,59063.00,3
22,FEMALE,INFORMATION TECHNOLOGY,37269.00,4
20,MALE,ENVIRONMENT,71866.00,4
25,MALE,FOOD AND BEVERAGES,50021.00,3
22,MALE,PURCHASING AND SPPLY,49531.00,3
22,MALE,INFORMATION TECHNOLOGY,48985.00,4
22,MALE,MARKETING,41341.00,5
20,MALE,HUMAN RESOURCES,64637.00,6
25,FEMALE,ADMINISTRATION,43889.00,4
22,MALE,INFORMATION TECHNOLOGY,52442.00,3
22,FEMALE,ENVIRONMENT,47144.00,2
22,FEMALE,FOOD AND BEVERAGES,25964.00,1
26,MALE,PURCHASING AND SPPLY,34663.00,1
22,MALE,INFORMATION TECHNOLOGY,43897.00,3
27,MALE,MARKETING,40599.00,5
22,FEMALE,HUMAN RESOURCES,60558.00,5
22,MALE,ADMINISTRATION,43353.00,5
22,MALE,INFORMATION TECHNOLOGY,39700.00,4
23,MALE,ENVIRONMENT,30793.00,3
23,FEMALE,FOOD AND BEVERAGES,31310.00,4
22,FEMALE,PURCHASING AND SPPLY,34460.00,4
23,MALE,INFORMATION TECHNOLOGY,49084.00,3
23,FEMALE,MARKETING,38264.00,3
22,FEMALE,HUMAN RESOURCES,43878.00,4
20,MALE,ADMINISTRATION,56788.00,5
25,MALE,INFORMATION TECHNOLOGY,40557.00,6
22,MALE,ENVIRONMENT,42147.00,4
22,MALE,FOOD AND BEVERAGES,32524.00,3
22,MALE,PURCHASING AND SPPLY,31925.00,2
20,MALE,INFORMATION TECHNOLOGY,63024.00,1
25,FEMALE,MARKETING,40190.00,1
22,MALE,HUMAN RESOURCES,58959.00,3
22,FEMALE,ADMINISTRATION,50987.00,5
22,FEMALE,INFORMATION TECHNOLOGY,66113.00,5
26,MALE,ENVIRONMENT,50547.00,5
22,MALE,FOOD AND BEVERAGES,64116.00,4
27,MALE,PURCHASING AND SPPLY,60403.00,3
22,FEMALE,INFORMATION TECHNOLOGY,47231.00,4
22,MALE,MARKETING,38637.00,4
22,MALE,HUMAN RESOURCES,27662.00,3
23,MALE,ADMINISTRATION,44888.00,3
23,FEMALE,INFORMATION TECHNOLOGY,45623.00,4
22,FEMALE,ENVIRONMENT,63197.00,5
23,MALE,FOOD AND BEVERAGES,41032.00,6
23,FEMALE,PURCHASING AND SPPLY,39751.00,4
22,FEMALE,INFORMATION TECHNOLOGY,35570.00,3
20,MALE,MARKETING,28776.00,2
25,MALE,HUMAN RESOURCES,35450.00,1
22,MALE,ADMINSTRATION,41509.00,1
22,MALE,INFORMATION TECHNOLOGY,49036.00,3
22,MALE,ENVIRONMENT,50891.00,5
20,MALE,FOOD AND BEVERAGES,49636.00,5
25,FEMALE,PURCHASING AND SPPLY,32572.00,5
22,MALE,INFORMATION TECHNOLOGY,38170.00,4
22,FEMALE,MARKETING,24734.00,3
22,FEMALE,HUMAN RESOURCES,39577.00,4
26,MALE,ADMINSTRATION,38966.00,4
22,MALE,INFORMATION TECHNOLOGY,27544.00,3
27,MALE,ENVIRONMENT,32591.00,3
22,FEMALE,FOOD AND BEVERAGES,25808.00,4
22,MALE,PURCHASING AND SPPLY,42878.00,5
22,MALE,INFORMATION TECHNOLOGY,51299.00,6
23,MALE,MARKETING,36377.00,4
23,FEMALE,HUMAN RESOURCES,51271.00,3
22,FEMALE,ADMINSTRATION,57105.00,2
23,MALE,INFORMATION TECHNOLOGY,35460.00,1
23,FEMALE,ENVIRONMENT,44953.00,1
22,FEMALE,FOOD AND BEVERAGES,53938.00,3
20,MALE,FINANCE,48881.00,5
25,MALE,SALES,39168.00,5
22,MALE,MARKETING,32715.00,5
22,MALE,HUMAN RESOURCES,45063.00,4
22,MALE,ADMINSTRATION,52513.00,3
20,MALE,INFORMATION TECHNOLOGY,39600.00,4
25,FEMALE,MARKETING,23082.00,4
22,MALE,HUMAN RESOURCES,44888.00,3
22,FEMALE,ADMINSTRATION,50016.00,3
22,FEMALE,INFORMATION TECHNOLOGY,26010.00,4
26,MALE,MARKETING,54694.00,5
22,MALE,HUMAN RESOURCES,42285.00,6
27,MALE,ADMINSTRATION,42155.00,4
22,FEMALE,INFORMATION TECHNOLOGY,34980.00,3
22,MALE,ENVIRONMENT,50157.00,2
22,MALE,FOOD AND BEVERAGES,42967.00,1
23,MALE,PURCHASING AND SPPLY,49748.00,1
23,FEMALE,INFORMATION TECHNOLOGY,35497.00,3
22,FEMALE,MARKETING,34991.00,5
23,MALE,HUMAN RESOURCES,33609.00,5
23,FEMALE,ADMINSTRATION,47867.00,5
22,FEMALE,INFORMATION TECHNOLOGY,35482.00,4
20,MALE,ENVIRONMENT,44352.00,3
25,MALE,FOOD AND BEVERAGES,39567.00,4
22,MALE,PURCHASING AND SPPLY,49699.00,4
22,MALE,INFORMATION TECHNOLOGY,47278.00,3
22,MALE,MARKETING,41429.00,3
20,MALE,HUMAN RESOURCES,39070.00,4
25,FEMALE,ADMINSTRATION,42132.00,5
22,MALE,INFORMATION TECHNOLOGY,39887.00,6
22,FEMALE,ENVIRONMENT,45893.00,4
22,FEMALE,FOOD AND BEVERAGES,41412.00,3
26,MALE,PURCHASING AND SPPLY,38019.00,2
22,MALE,INFORMATION TECHNOLOGY,35384.00,1
27,MALE,MARKETING,37167.00,1
22,FEMALE,HUMAN RESOURCES,61631.00,3
22,MALE,ADMINSTRATION,28254.00,5
22,MALE,INFORMATION TECHNOLOGY,39559.00,5
23,MALE,ENVIRONMENT,57899.00,5
23,FEMALE,FOOD AND BEVERAGES,35718.00,4
22,FEMALE,PURCHASING AND SPPLY,37235.00,3
23,MALE,INFORMATION TECHNOLOGY,39040.00,4
23,FEMALE,MARKETING,31891.00,4
22,FEMALE,HUMAN RESOURCES,47531.00,3
20,MALE,ADMINSTRATION,40708.00,3
25,MALE,INFORMATION TECHNOLOGY,59444.00,4
22,MALE,ENVIRONMENT,35187.00,5
22,MALE,FOOD AND BEVERAGES,34905.00,6
22,MALE,PURCHASING AND SPPLY,44897.00,4
20,MALE,INFORMATION TECHNOLOGY,30756.00,3
25,FEMALE,MARKETING,33291.00,2
22,MALE,HUMAN RESOURCES,37236.00,1
22,FEMALE,ADMINSTRATION,44137.00,1
22,FEMALE,INFORMATION TECHNOLOGY,39340.00,3
26,MALE,ENVIRONMENT,45592.00,5
22,MALE,FOOD AND BEVERAGES,43008.00,5
27,MALE,PURCHASING AND SPPLY,58288.00,5
22,FEMALE,INFORMATION TECHNOLOGY,43890.00,4
22,MALE,MARKETING,38748.00,3
22,MALE,HUMAN RESOURCES,42553.00,4
23,MALE,ADMINSTRATION,54287.00,4
23,FEMALE,INFORMATION TECHNOLOGY,37188.00,3
22,FEMALE,ENVIRONMENT,30435.00,3
23,MALE,FOOD AND BEVERAGES,55655.00,4
23,FEMALE,PURCHASING AND SPPLY,49981.00,5
22,FEMALE,INFORMATION TECHNOLOGY,28878.00,6
20,MALE,MARKETING,36186.00,4
25,MALE,HUMAN RESOURCES,56020.00,3
22,MALE,ADMINSTRATION,52290.00,2
22,MALE,INFORMATION TECHNOLOGY,46606.00,1
22,MALE,ENVIRONMENT,39048.00,1
20,MALE,FOOD AND BEVERAGES,50796.00,3
25,FEMALE,PURCHASING AND SPPLY,39317.00,5
22,MALE,INFORMATION TECHNOLOGY,47598.00,5
22,FEMALE,MARKETING,43010.00,5
22,FEMALE,HUMAN RESOURCES,46406.00,4
26,MALE,ADMINSTRATION,38921.00,3
22,MALE,INFORMATION TECHNOLOGY,42457.00,4
27,MALE,ENVIRONMENT,46898.00,4
22,FEMALE,FOOD AND BEVERAGES,42178.00,3
22,MALE,PURCHASING AND SPPLY,23833.00,3
22,MALE,INFORMATION TECHNOLOGY,52914.00,4
23,MALE,MARKETING,38038.00,5
23,FEMALE,HUMAN RESOURCES,30967.00,6
22,FEMALE,ADMINISTRATION,13200.00,4
23,MALE,INFORMATION TECHNOLOGY,41732.00,3
23,FEMALE,ENVIRONMENT,52688.00,2
22,FEMALE,FOOD AND BEVERAGES,42218.00,1
